True Similarity,Diff from False - Text Retrieval,Diff from False - Image Retrieval,Text Retrieval,Image Retrieval
0.9986883997917175,0.004449307918548584,0.00011712312698364258,True,True
0.9981536269187927,-0.0004176497459411621,0.003914535045623779,True,False
0.004488704260438681,-0.011934698093682528,-0.0061575579456985,False,False
0.024478266015648842,0.013832003809511662,0.008054863661527634,True,True
0.9987357258796692,0.0006053447723388672,-0.0004703998565673828,False,True
0.9991969466209412,-9.179115295410156e-06,0.0010665655136108398,True,False
0.20262780785560608,0.19334946386516094,0.04455019533634186,True,True
0.05740244314074516,-0.10067516937851906,0.048124099150300026,True,False
0.9912468791007996,0.0014529824256896973,0.018010318279266357,True,True
0.9641180634498596,-0.009118497371673584,-0.025675833225250244,False,False
0.9980819225311279,0.056446850299835205,0.007314920425415039,True,True
0.9830678105354309,-0.007699191570281982,0.041432738304138184,True,False
0.025259654968976974,0.022139597684144974,-0.026612788438796997,False,True
0.001236739568412304,-0.05063570383936167,-0.0018833177164196968,False,False
0.16629526019096375,0.1418642532080412,0.1601245580241084,True,True
0.961433470249176,0.9552627680823207,0.9370024632662535,True,True
0.993438184261322,0.01824796199798584,0.22000890970230103,True,True
0.9868576526641846,0.21342837810516357,0.011667430400848389,True,True
0.7282010912895203,-0.05383753776550293,0.20423626899719238,True,False
0.7038878202438354,0.17992299795150757,-0.07815080881118774,False,True
0.03187846764922142,0.03132779517909512,0.007903475314378738,True,True
0.0042558154091238976,-0.019719176925718784,0.0037051429389975965,True,False
0.949458122253418,0.9018593020737171,0.36889225244522095,True,True
0.19711895287036896,-0.38344691693782806,0.1495201326906681,True,False
0.9834839701652527,0.0056555867195129395,0.4743403196334839,True,True
0.9842944145202637,0.4751507639884949,0.006466031074523926,True,True
0.9629567265510559,-0.01585918664932251,0.8960820436477661,True,False
0.9145349264144897,0.8476602435112,-0.06428098678588867,False,True
0.9992489218711853,0.2664123773574829,0.6244415640830994,True,True
0.9936959147453308,0.6188885569572449,0.2608593702316284,True,True
0.5666713118553162,0.5425677224993706,0.018102645874023438,True,True
0.18382252752780914,-0.3647461384534836,0.15971893817186356,True,False
0.460983544588089,-0.06702402234077454,-0.0021611452102661133,False,False
0.42113882303237915,-0.04200586676597595,-0.10686874389648438,False,False
0.9479510188102722,0.3324927091598511,0.01961672306060791,True,True
0.9044118523597717,-0.023922443389892578,0.2889535427093506,True,False
0.09540271013975143,-0.49985868483781815,0.015952490270137787,True,False
0.5896830558776855,0.5102328360080719,-0.005578339099884033,False,True
0.9858865737915039,-0.001142263412475586,-0.004217028617858887,False,False
0.9919326901435852,0.0018290877342224121,0.004903852939605713,True,True
0.9913434982299805,0.21067005395889282,-0.0010245442390441895,False,True
0.7969552874565125,-0.1954127550125122,0.016281843185424805,True,False
0.9324999451637268,0.8899819254875183,0.45196473598480225,True,True
0.7248886823654175,0.24435347318649292,0.682370662689209,True,True
0.6357795000076294,-0.13924407958984375,-0.1533399224281311,False,False
0.8798242807388306,0.09070485830307007,0.10480070114135742,True,True
0.9101932644844055,0.34356892108917236,-0.059960246086120605,False,True
0.7891546487808228,-0.18099886178970337,0.2225303053855896,True,False
0.06614790856838226,-0.8822603970766068,0.05771142151206732,True,False
0.8849595785140991,0.8765230914577842,-0.06344872713088989,False,True
0.9428058862686157,0.1173020601272583,-0.045690298080444336,False,True
0.9133691787719727,-0.0751270055770874,0.08786535263061523,True,False
0.06305429339408875,-0.45504459738731384,0.004120666533708572,True,False
0.651609480381012,0.5926758535206318,0.13351058959960938,True,True
0.9853981733322144,0.22197848558425903,0.011704087257385254,True,True
0.46031713485717773,-0.5133769512176514,-0.3031025528907776,False,False
0.999764621257782,0.8737604469060898,0.18613040447235107,True,True
0.9980480670928955,0.1844138503074646,0.8720438927412033,True,True
0.9972397089004517,0.9971212756208843,0.9967119664652273,True,True
0.9518749117851257,0.9513471693499014,0.9517564785055583,True,True
